A->A,A	C->C,C	F->F,F	H->H,H	P->P,P	T->T,T	W->W,W	Z->Z,Z
670	6	34	0	0	0	0	22	0
671	6	34	0	0	0	0	21	0
672	6	35	0	0	0	0	20	0
673	5	34	0	0	0	0	27	0
674	9	34	0	0	0	0	18	0
675	12	35	0	0	0	0	19	0
676	7	34	0	0	0	0	23	0
677	8	35	0	0	0	0	20	0
678	7	34	0	0	0	0	25	0
679	13	35	0	0	0	0	20	0
680	3	35	0	0	0	0	31	0
681	6	35	0	0	0	0	25	0
682	5	33	0	0	0	0	26	0
683	5	33	0	0	0	0	20	0
684	3	35	0	0	0	0	26	0
685	5	35	0	0	0	0	28	0
686	8	35	0	0	0	0	22	0
687	6	35	0	0	0	0	26	0
688	7	34	0	0	0	0	20	0
689	4	35	0	0	0	0	26	0
690	3	35	0	0	0	0	26	0
691	4	34	0	0	0	0	24	0
692	3	35	0	0	0	0	26	0
693	4	35	0	0	0	0	27	0
694	7	33	0	0	0	0	19	0
695	9	34	0	0	0	0	26	0
696	5	34	0	0	0	0	26	0
697	4	34	0	0	0	0	27	0
698	6	35	0	0	0	0	23	0
699	3	34	0	0	0	0	23	0
700	9	35	0	0	0	0	17	0
701	2	34	0	0	0	0	25	0
702	6	35	0	0	0	0	21	0
703	4	34	0	0	0	0	19	0
704	6	35	0	1	0	0	24	0
705	4	34	0	0	0	0	27	0
706	6	34	0	0	0	0	24	0
707	8	33	0	0	0	0	18	0
708	4	34	0	0	0	0	25	0
709	7	35	0	0	0	0	20	0
710	4	32	0	0	0	0	26	0
711	7	35	0	0	0	0	22	0
712	9	35	0	0	0	0	19	0
713	5	34	0	0	0	0	21	0
714	6	35	0	0	0	0	23	1
715	5	35	0	0	0	0	26	0
716	3	34	0	0	0	0	28	0
717	4	35	0	0	0	0	23	0
718	3	35	0	0	0	0	25	0
719	6	34	0	0	0	0	21	0
720	3	35	0	0	0	0	26	0
721	7	35	0	0	0	0	22	0
722	10	35	0	0	0	0	20	0
723	8	34	0	1	0	0	19	0
724	6	34	0	0	0	0	26	0
725	6	35	0	0	0	0	26	0
726	6	34	0	0	0	0	25	0
727	7	35	0	0	0	0	21	0
728	9	34	0	0	0	0	20	0
729	4	35	0	0	0	0	25	0
730	4	34	0	0	0	0	25	0
731	5	35	0	0	0	0	24	0
732	3	34	0	0	0	0	31	0
733	3	35	0	0	0	0	21	0
734	6	34	0	0	0	0	20	0
735	6	35	0	0	0	0	18	0
736	3	35	0	0	0	0	27	0
737	7	35	0	0	0	0	25	0
738	5	34	0	0	0	0	32	0
739	12	35	0	0	0	0	15	0
740	7	34	0	0	0	0	24	0
741	7	35	0	0	0	0	25	0
742	5	35	0	0	0	0	28	0
743	5	35	0	0	0	0	27	0
744	5	35	0	0	0	0	28	0
745	6	34	0	0	0	0	21	0
746	3	35	0	0	0	0	25	0
747	4	34	0	0	1	0	21	0
748	6	34	0	0	0	0	23	0
749	10	35	0	0	0	0	19	0
750	8	35	0	1	0	0	20	0
751	8	35	0	0	0	0	20	0
752	7	34	0	0	0	0	22	0
