Species,Specimen,Voucher,ETS,ITS,rbcL,rps16,trn,Total-markers
Schoenus comparoides,comparoides-333,TE2016_333,0,0,1,0,1,2
Schoenus complanatus,complanatus-339,TE2016_339,0,0,1,0,0,1
Schoenus complanatus,complanatus-341,TE2016_341,0,0,1,0,0,1
Schoenus nitens var. concinnus,concinnus-AK256164,AK256164,0,1,0,0,0,1
Schoenus nitens var. concinnus,concinnus-AK308197,AK308197,0,1,0,0,0,1
Schoenus nitens var. concinnus,concinnus-G125,Gibbs 125,0,1,0,0,0,1
Schoenus nitens var. concinnus,concinnus-G140,Gibbs 140,0,1,0,0,0,1
Schoenus crassiculmis,crassiculmis-298,TE2016_298,1,0,0,1,0,2
Schoenus crassiculmis,crassiculmis-338,TE2016_338,0,0,1,0,0,1
Schoenus crassus,crassus-312,TE2016_312,0,0,1,0,0,1
Schoenus crassus,crassus-321,TE2016_321,1,0,0,0,0,1
Schoenus crassus,crassus-330,TE2016_330,0,0,1,0,0,1
Schoenus crassus,crassus-354,TE2016_354,0,0,1,0,0,1
Schoenus crassus,crassus-V507,Verboom 507,1,0,1,0,1,3
Schoenus curvifolius,curvifolius-B4174,Barrett 4174,0,1,0,0,0,1
Schoenus curvifolius,curvifolius-B5379,Barrett 5370,0,1,0,0,0,1
Schoenus curvifolius,curvifolius-V1240,Verboom 1240,1,0,1,1,1,4
Schoenus cuspidatus,cuspidatus-182,TE2016_182,0,0,1,0,0,1
Schoenus cuspidatus,cuspidatus-198,TE2016_198,0,0,1,0,0,1
Schoenus cuspidatus,cuspidatus-221,TE2016_221,0,0,1,0,0,1
Schoenus cuspidatus,cuspidatus-235,TE2016_235,0,0,1,0,0,1
Schoenus cuspidatus,cuspidatus-248,TE2016_248,0,0,1,0,0,1
Schoenus cuspidatus,cuspidatus-253,TE2016_253,0,0,1,0,0,1
Schoenus cuspidatus,cuspidatus-255,TE2016_255,0,0,1,0,0,1
Schoenus cuspidatus,cuspidatus-256,TE2016_256,1,0,1,0,0,2
Schoenus cuspidatus,cuspidatus-265,TE2016_265,0,0,1,0,0,1
Schoenus cuspidatus,cuspidatus-278,TE2016_278,1,0,1,0,0,2
Schoenus cuspidatus,cuspidatus-284,TE2016_284,0,0,1,1,0,2
Schoenus cuspidatus,cuspidatus-298,TE2016_298,0,0,1,0,0,1
Schoenus cuspidatus,cuspidatus-303,TE2016_303,0,0,1,0,0,1
Schoenus cuspidatus,cuspidatus-321,TE2016_321,0,0,1,0,0,1
Schoenus cuspidatus,cuspidatus-322,TE2016_322,0,0,1,0,0,1
Schoenus cuspidatus,cuspidatus-334,TE2016_334,0,0,1,0,0,1
Schoenus cuspidatus,cuspidatus-335,TE2016_335,0,0,1,0,0,1
Schoenus deformis,defomis-B5164,Barrett 5164,0,1,0,0,0,1
Schoenus discifer,discifer-B5322,Barrett 5322,0,1,0,0,0,1
